Why, type, Question
When, type, Question
Where, type, Question
Who, type, Question
What, type, Question
What, sameAs, Quoi
Where, sameAs, Où
When, sameAs, Quand
Why, sameAs, Pourquoi
Why, isPartOf, Five W's
When, isPartOf, Five W's
Where, isPartOf, Five W's
What, isPartOf, Five W's
What, sameAs, Quoi
Who, sameAs, Qui
Who, isPartOf, Five W's
QQOQCCP, hasEnglishVersion, Five W's
Combien, isPartOf, QQOQCCP
Comment, isPartOf, QQOQCCP
Où, isPartOf, QQOQCCP
Quoi, isPartOf, QQOQCCP
Quand, isPartOf, QQOQCCP
Qui, isPartOf, QQOQCCP
Pourquoi, isPartOf, QQOQCCP
Pourquoi, type, Question
Combien, type, Question
Comment, type, Question
Quand, type, Question
Où, type, Question
Quoi, type, Question
Qui, type, Question
QQOQCCP, type, Methode
David, type, Joueur